0 0 0 0 0.0005 0 0 0 0 0
0 0 0 0 0.0005 0 0 0 0 0
0 0 0 0 0.0005 0 0 0 0 0
0 0 0 0 0.0005 0 0 0 0 0
0 0 0 0 0.0005 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0.999904 0 0 0 0.765312 0 0 0 0 0
0.999904 0 0 0 0.765312 0 0 0 0 0
0.999904 0 0 0 0.765312 0 0 0 0 0
0.999904 0 0 0 0.765312 0 0 0 0 0
0.999904 0 0 0 0.765312 0 0 0 0 0
-0.00156403 0 0 0 -0.133676 0 0 0 0 0
-0.00156403 0 0 0 -0.133676 0 0 0 0 0
-0.00156403 0 0 0 -0.133676 0 0 0 0 0
-0.00156403 0 0 0 -0.133676 0 0 0 0 0
-0.00156403 0 0 0 -0.133676 0 0 0 0 0
-2.44905 0 0 0 -0.989992 0 0 0 0 0
1.99986 0 0 0 0.718784 0 0 0 0 0
1.99986 0 0 0 0.718784 0 0 0 0 0
1.99986 0 0 0 0.718784 0 0 0 0 0
1.99986 0 0 0 0.718784 0 0 0 0 0
1.99986 0 0 0 0.718784 0 0 0 0 0
3.75509e-06 0 0 0 0.146141 0 0 0 0 0
3.75509e-06 0 0 0 0.146141 0 0 0 0 0
3.75509e-06 0 0 0 0.146141 0 0 0 0 0
3.75509e-06 0 0 0 0.146141 0 0 0 0 0
3.75509e-06 0 0 0 0.146141 0 0 0 0 0
-2.36184 0 0 0 -0.359401 0 0 0 0 0
2.99993 0 0 0 0.931731 0 0 0 0 0
2.99993 0 0 0 0.931731 0 0 0 0 0
2.99993 0 0 0 0.931731 0 0 0 0 0
2.99993 0 0 0 0.931731 0 0 0 0 0
2.99993 0 0 0 0.931731 0 0 0 0 0
1.86471e-05 0 0 0 0.0186285 0 0 0 0 0
1.86471e-05 0 0 0 0.0186285 0 0 0 0 0
1.86471e-05 0 0 0 0.0186285 0 0 0 0 0
1.86471e-05 0 0 0 0.0186285 0 0 0 0 0
1.86471e-05 0 0 0 0.0186285 0 0 0 0 0
-2.72114 0 0 0 -0.359401 0 0 0 0 0
3.99997 0 0 0 0.97491 0 0 0 0 0
3.99997 0 0 0 0.97491 0 0 0 0 0
3.99997 0 0 0 0.97491 0 0 0 0 0
3.99997 0 0 0 0.97491 0 0 0 0 0
3.99997 0 0 0 0.97491 0 0 0 0 0
6.85302e-06 0 0 0 0.00684616 0 0 0 0 0
6.85302e-06 0 0 0 0.00684616 0 0 0 0 0
